1,120834.27552110988
2,104471.86545274626
3,92514.74604050016
4,84030.14153331083
5,78344.37351776117
6,74366.57649197882
7,70211.9964061146
8,67577.83753674873
9,65230.126076168985
10,63281.53747894188
11,61464.001968298515
12,59970.07140349359
13,58772.00517218901
14,57558.524316906296
15,56570.87038770007
16,55655.677105382005
17,54690.151540343395
18,53791.28634993086
19,52929.664726451585
20,52174.006303437665
21,51430.01379652819
22,50747.69998667722
23,50151.93497458426
24,49544.31291049328
25,48976.744226013245
26,48359.53473274209
27,47815.60165219219
