1,126643.95622274972
2,101960.62213029154
3,89934.8124814221
4,82143.38342746548
5,76362.32438680605
6,71937.30562815875
7,68741.65552666639
8,66323.77068606457
9,64617.0337477021
10,62866.67153646832
11,61105.982943013456
12,59597.97392745545
13,57783.42964144049
14,56316.43680224023
15,55098.13574472018
16,53956.864404065185
17,53082.86437344876
18,51996.109634790395
19,51199.760631894984
20,50351.67248236187
21,49484.31803577762
22,48695.392785433214
23,47919.27129421816
24,47071.07242615294
25,46308.731781225826
