1,48355.294926403214
2,20625.287881389344
3,15553.316370448983
4,10295.842944036618
5,8386.732716689321
6,6534.209994888087
7,5854.31526024907
8,5141.012028235581
9,4525.845871956991
10,3907.6361284108802
11,3619.990548099253
12,3309.5055508918995
13,2992.0153364940925
14,2760.9821335010542
15,2708.836892193729
16,2568.8600824964255
17,2355.8733559927796
18,2143.757041930693
19,2054.5725692105866
20,1943.9258382604532
21,1835.9325748669228
22,1715.169460895794
23,1631.2127795534968
24,1553.6779433060372
25,1511.9901978711644
26,1473.4512818474934
27,1431.0824393596888
28,1387.9426645624924
29,1347.8110039021992
30,1302.9404700327998
31,1249.5280095796877
32,1210.706497244085
